Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Weitmann & Konrad GmbH & Co. KG (WEKO);https://weko.net/de;C;51;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Puderbestaeubungs- und Wiederbefeuchtungssysteme fuer Druckmaschinen. Auf der Website 26 Fundstellen zu Kernbegriffen: Offsetdruck (9), Flexodruck (9), Digitaldruck (8).;Mittel, nur Website, 73 Prozent der Kriterien belegt;70771 Leinfelden-Echterdingen;Deutschland;Puderbestaeubungs- und Wiederbefeuchtungssysteme fuer Druckmaschinen;k. A.;k. A.;;Startliste (Weko);Website weko.net: Branchen Druck (Digitaldruck, Offsetdruck, Flexodruck) mit Puderauftrag, Rueckfeuchten und Emulsionsauftrag.;https://www.linkedin.com/company/weko-weitmann-konrad;B;Randbereich der Zielbranche laut Recherche: Puderbestaeubungs- und Wiederbefeuchtungssysteme fuer Druckmaschinen. Auf der Website 26 Fundstellen zu Kernbegriffen: Offsetdruck (9), Flexodruck (9), Digitaldruck (8).;B;Sitz 70771 Leinfelden-Echterdingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (1) auf 8 Seiten.;B;1 Begriffe mit 5 Fundstellen: Register (5).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 3 Fundstellen auf 8 Seiten: Einkauf (1), Einkaufsbedingungen (1), Purchasing (1).;A;3 Begriffe mit 33 Fundstellen auf 8 Seiten: ISO 9001 (16), zertifiziert (16), quality management (1).
Koenig & Bauer (AT) GmbH;https://at.koenig-bauer.com/de/;D;50;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Wertpapierdruckmaschinen (Security), Bogenoffset-Komponenten. Auf der Website 11 Fundstellen zu Kernbegriffen: Bogenoffset (6), Druckmaschine (4), Drucksystem (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;2344 Maria Enzersdorf;Österreich;Wertpapierdruckmaschinen (Security), Bogenoffset-Komponenten;k. A.;k. A.;Koenig & Bauer AG;Websuche Druckmaschinen Hersteller Oesterreich;"Website at.koenig-bauer.com: Bereiche Security (Wertpapier) und Sheetfed (Bogenoffset); aeltestes Druckmaschinenbauunternehmen Oesterreichs.";https://www.linkedin.com/company/23394;A;Kernprodukt laut Recherche: Wertpapierdruckmaschinen (Security), Bogenoffset-Komponenten. Auf der Website 11 Fundstellen zu Kernbegriffen: Bogenoffset (6), Druckmaschine (4), Drucksystem (1).;C;Sitz 2344 Maria Enzersdorf, Österreich, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 6 Fundstellen: Bogen (6).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;2 Begriffe mit 7 Fundstellen: Innovation (4), Entwicklung (3).;A;3 Begriffe mit 42 Fundstellen auf 6 Seiten: Einkauf (38), Lieferant (3), Einkaufsbedingungen (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
Koenig & Bauer Kammann GmbH;https://www.kammann.de/;D;50;Schlechter Fit;Insolvenz oder Liquidation laut Website;Ausschluss: Insolvenz oder Liquidation laut Website. Im Raster 3 mal A und 0 mal D.;Mittel, nur Website, 73 Prozent der Kriterien belegt;32584 Löhne;Deutschland;Direktdruckmaschinen fuer Hohlkoerper aus Glas und Kunststoff;k. A.;k. A.;Koenig & Bauer AG;"Startliste (Kammann Maschinenbau); industrystock";"Website kammann.de: Wir entwickeln und konstruieren Spezialmaschinen fuer verschiedene Druckverfahren (Container-, Etiketten-, technischer Druck); Sitz Weidehorst 80, 32584 Loehne.";https://www.linkedin.com/company/kammann-maschinenbau-gmbh;A;Kernprodukt laut Recherche: Direktdruckmaschinen fuer Hohlkoerper aus Glas und Kunststoff. Auf der Website 15 Fundstellen zu Kernbegriffen: Druckmaschine (5), Siebdruck (4), Druckwerk (4), Digitaldruck (1).;B;Sitz 32584 Löhne, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 5 Fundstellen: Passer (4), Präzision (1).;B;2 Begriffe mit 5 Fundstellen: Druckwerk (4), Register (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 9 Fundstellen auf 9 Seiten: Wartung (4), Ersatzteil (3), Lebensdauer (1), Verfügbarkeit (1).;C;Schwacher Beleg, nur Hochleistung (1) auf 9 Seiten.;B;2 Begriffe mit 4 Fundstellen: Innovation (3), Konstruktion (1).;A;4 Begriffe mit 43 Fundstellen auf 9 Seiten: Einkauf (15), Einkaufsbedingungen (14), Lieferant (12), Beschaffung (2).;B;1 Begriffe mit 1 Fundstellen: Dokumentation (1).
manroland sheetfed GmbH;https://www.manrolandsheetfed.com/;D;50;Schlechter Fit;"Status insolvent: Schutzschirmverfahren ab 03.03.2026; Produktion zum 01.06.2026 eingestellt, ca. 660 Beschaeftigte en";"Ausschluss: Status insolvent: Schutzschirmverfahren ab 03.03.2026; Produktion zum 01.06.2026 eingestellt, ca. 660 Beschaeftigte en. Im Raster 4 mal A und 1 mal D. Hinweis: Schutzschirmverfahren ab 03.03.2026; Produktion zum 01.06.2026 eingestellt, ca. 660 Beschaeftigte entlassen; Service- und Ersatzteilgeschaeft im Juni 2026 an Heidelberger Druckmaschinen verkauft";Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;63075 Offenbach am Main;Deutschland;Bogenoffsetdruckmaschinen (Roland 700 Evolution);660 (Recherche);132 (abgeleitet);Langley Holdings plc;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";"Wikipedia/Langley Holdings: Hersteller von Bogenoffsetdruckmaschinen in Offenbach; Insolvenz Maerz 2026, Betriebseinstellung Juni 2026.";https://www.linkedin.com/company/manroland;A;Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen (Roland 700 Evolution). Auf der Website 9 Fundstellen zu Kernbegriffen: printing press (4), printing system (4), Druckmaschine (1).;B;Sitz 63075 Offenbach am Main, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;660 Mitarbeiter (Recherche, Gesellschaft: https://www.printmonthly.co.uk/news/manroland-sheetfed-enters-insolvency-proceedings/ (2026)), unter dem ICP-Band 1.001 bis 10.000.;D;132 Mio. EUR (aus 660 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 7 Fundstellen: precision (5), tolerance (2).;B;2 Begriffe mit 5 Fundstellen: Register (4), printing unit (1).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 14 Fundstellen auf 8 Seiten: spare part (7), maintenance (4), service part (2), Retrofit (1).;C;Schwacher Beleg, nur high-speed (2) auf 8 Seiten.;A;4 Begriffe mit 16 Fundstellen auf 8 Seiten: engineering (8), Innovation (5), research and development (2), R&D (1).;B;1 Begriffe mit 1 Fundstellen: Supply Chain (1).;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: ISO 9001 (1), certified (1).
MB Bäuerle GmbH i.L.;https://www.mb-bauerle.de/;D;50;Schlechter Fit;Status insolvent: Geschaeftsbetrieb im Rahmen der Insolvenzverfahren dauerhaft eingestellt (Website-Mitteilung, abgeru;Ausschluss: Status insolvent: Geschaeftsbetrieb im Rahmen der Insolvenzverfahren dauerhaft eingestellt (Website-Mitteilung, abgeru. Im Raster 0 mal A und 0 mal D. Hinweis: Geschaeftsbetrieb im Rahmen der Insolvenzverfahren dauerhaft eingestellt (Website-Mitteilung, abgerufen 2026-08);Niedrig, nur wenige Seiten, 30 Prozent der Kriterien belegt;78112 St. Georgen;Deutschland;Falz- und Kuvertiersysteme, Mailinganlagen;k. A.;k. A.;;Websuche Druckweiterverarbeitung Hersteller;Website: Die MB Baeuerle GmbH und die MB-TecSolutions GmbH haben ihren Geschaeftsbetrieb im Rahmen der Insolvenzverfahren dauerhaft eingestellt.;nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Falz- und Kuvertiersysteme, Mailinganlagen.;B;Sitz 78112 St. Georgen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;B;2 Begriffe mit 4 Fundstellen: Ersatzteil (2), spare part (2).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
Bluhm Systeme GmbH;https://www.bluhmsysteme.com/;D;49;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 1 mit D. Randbereich der Zielbranche laut Recherche: Etikettier-, Codier- und Direktdrucksysteme (Inkjet, Laser). Auf der Website 143 Fundstellen zu Kernbegriffen: Inkjet (83), Etikettendruck (56), Digitaldruck (2), Siebdruck (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;53619 Rheinbreitbach;Deutschland;Etikettier-, Codier- und Direktdrucksysteme (Inkjet, Laser);600 (Recherche);200 (Recherche);;Websuche industrielle Inkjet Drucksysteme;"Website: fuehrender Komplettanbieter fuer Etikettier- und Codierloesungen; Produktbereiche Etikettierung, Direktdruck, Laser.";https://www.linkedin.com/company/bluhm-systeme-gmbh;B;Randbereich der Zielbranche laut Recherche: Etikettier-, Codier- und Direktdrucksysteme (Inkjet, Laser). Auf der Website 143 Fundstellen zu Kernbegriffen: Inkjet (83), Etikettendruck (56), Digitaldruck (2), Siebdruck (2).;B;Sitz 53619 Rheinbreitbach, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;600 Mitarbeiter (Recherche, Gruppe: https://www.bluhmsysteme.com/unternehmen/ueber-uns/wer-wir-sind/ (2026: 600+ Mitarbeitende)), unter dem ICP-Band 1.001 bis 10.000.;D;200 Mio. EUR (Recherche: https://www.bluhmsysteme.com/unternehmen/ueber-uns/wer-wir-sind/ (2026: 200 Mio. + Jahresumsatz in Euro)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 4 Fundstellen: Präzision (3), präzise (1).;C;Schwacher Beleg, nur Register (1) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 3 Fundstellen auf 9 Seiten: Verschleißteil (1), Instandhaltung (1), Verfügbarkeit (1).;C;Schwacher Beleg, nur Hochleistung (1) auf 9 Seiten.;C;Schwacher Beleg, nur Innovation (1) auf 9 Seiten.;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;A;2 Begriffe mit 20 Fundstellen auf 9 Seiten: Zertifizierung (18), zertifiziert (2).
BST GmbH;https://www.bst.elexis.group/de/;D;48;Schlechter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Bahnlaufregelung, 100%-Inspektion und Registerregelung fuer den Druck. Auf der Website 10 Fundstellen zu Kernbegriffen: Etikettendruck (9), Offsetdruck (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;33719 Bielefeld;Deutschland;Bahnlaufregelung, 100%-Inspektion und Registerregelung fuer den Druck;300 (Recherche);60 (abgeleitet);elexis AG;industrystock Druckmaschinen (BST eltromat);"Website bst.elexis.group: Loesungen Bahnlaufregelungen, Inspektion fuer Druck & Verpackung; vormals BST eltromat International.";https://www.linkedin.com/company/bst-eltromat-international-gmbh;B;Randbereich der Zielbranche laut Recherche: Bahnlaufregelung, 100%-Inspektion und Registerregelung fuer den Druck. Auf der Website 10 Fundstellen zu Kernbegriffen: Etikettendruck (9), Offsetdruck (1).;B;Sitz 33719 Bielefeld, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;300 Mitarbeiter (Recherche, Gesellschaft: https://www.bst.elexis.group/de/unternehmen (2026: Mitarbeitende > 300, Hauptsitz Bielefeld)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;60 Mio. EUR (aus 300 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 11 Fundstellen auf 7 Seiten: präzise (7), Präzision (3), Registergenauigkeit (1).;A;4 Begriffe mit 51 Fundstellen auf 7 Seiten: Bahnlauf (29), Register (14), web guid (7), Bahnführung (1).;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 19 Fundstellen auf 7 Seiten: Wartung (10), Ersatzteil (8), Originalteil (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;B;2 Begriffe mit 4 Fundstellen: Entwicklung (2), Innovation (2).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;2 Begriffe mit 8 Fundstellen auf 7 Seiten: Qualitätssicherung (7), Qualitätskontrolle (1).
ISIMAT GmbH Siebdruckmaschinen;https://www.isimat.com/;D;48;Schlechter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Sieb- und Hybriddruckmaschinen fuer Tuben, Glaeser, Kunststoffartikel. Auf der Website 29 Fundstellen zu Kernbegriffen: Druckmaschine (17), Siebdruck (9), Flexodruck (1), Digitaldruck (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;73479 Ellwangen;Deutschland;Sieb- und Hybriddruckmaschinen fuer Tuben, Glaeser, Kunststoffartikel;80 (Recherche);16 (abgeleitet);Leonhard Kurz Stiftung & Co. KG (KURZ-Gruppe);"Startliste; Websuche Siebdruckmaschinen Hersteller";"Website: Druckmaschinen zur Bedruckung von Tuben, Glaesern und Kunststoff-Artikeln; seit rund zwei Jahren Tochter der KURZ-Gruppe.";https://de.linkedin.com/company/isimat-gmbh-siebdruckmaschinen;A;Kernprodukt laut Recherche: Sieb- und Hybriddruckmaschinen fuer Tuben, Glaeser, Kunststoffartikel. Auf der Website 29 Fundstellen zu Kernbegriffen: Druckmaschine (17), Siebdruck (9), Flexodruck (1), Digitaldruck (1).;B;Sitz 73479 Ellwangen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;80 Mitarbeiter (Recherche, Gesellschaft: https://www.isimat.com/ (2026: rund 80 Beschaeftigte)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;16 Mio. EUR (aus 80 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 3 Fundstellen auf 8 Seiten: Spindel (1), Linearachse (1), Antriebstechnik (1).;A;3 Begriffe mit 10 Fundstellen auf 8 Seiten: Wartung (8), Ersatzteil (1), Standzeit (1).;C;Schwacher Beleg, nur Hochleistung (2) auf 8 Seiten.;A;3 Begriffe mit 15 Fundstellen auf 8 Seiten: Innovation (9), Entwicklung (5), Patent (1).;A;4 Begriffe mit 37 Fundstellen auf 8 Seiten: Einkauf (26), Einkaufsbedingungen (7), Lieferant (3), Purchasing (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Krug & Priester GmbH & Co. KG;https://www.krug-priester.com/de/;D;48;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Stapelschneidemaschinen (IDEAL) und Aktenvernichter.;Mittel, nur Website, 73 Prozent der Kriterien belegt;72336 Balingen;Deutschland;Stapelschneidemaschinen (IDEAL) und Aktenvernichter;k. A.;k. A.;Familienbesitz;Websuche Schneidemaschinen Hersteller;Website krug-priester.com: Hersteller der Marken IDEAL und EBA (Schneidemaschinen, Aktenvernichter) mit Sitz in Balingen.;https://www.linkedin.com/company/krug-priester;B;Randbereich der Zielbranche laut Recherche: Stapelschneidemaschinen (IDEAL) und Aktenvernichter.;B;Sitz 72336 Balingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;B;2 Begriffe mit 6 Fundstellen: Register (5), Bogen (1).;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;2 Begriffe mit 2 Fundstellen auf 7 Seiten: Einkauf (1), Einkaufsbedingungen (1).;A;4 Begriffe mit 7 Fundstellen auf 7 Seiten: zertifiziert (3), ISO 9001 (2), Qualitätsmanagement (1), quality management (1).
microPrint LC GmbH;https://www.microprint.ch/de/;D;48;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Tampondruckmaschinen und Automationsanlagen. Auf der Website 104 Fundstellen zu Kernbegriffen: Tampondruck (78), Druckmaschine (26).;Mittel, nur Website, 73 Prozent der Kriterien belegt;8207 Schaffhausen;Schweiz;Tampondruckmaschinen und Automationsanlagen;k. A.;k. A.;;Websuche Tampondruckmaschinen Hersteller;"Website: Seit 1995 entwickelt und produziert microPrint Tampondruckmaschinen in der Schweiz; kundenspezifische Maschinen und Automationen.";https://www.linkedin.com/company/8824098;A;Kernprodukt laut Recherche: Tampondruckmaschinen und Automationsanlagen. Auf der Website 104 Fundstellen zu Kernbegriffen: Tampondruck (78), Druckmaschine (26).;C;Sitz 8207 Schaffhausen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 4 Fundstellen: präzise (3), Genauigkeit (1).;C;Schwacher Beleg, nur Register (2) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Lebensdauer (1) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Innovation (1) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: Qualitätskontrolle (1).
BOWE SYSTEC GmbH;https://bowe.com/en/;D;47;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Kuvertiersysteme, Dokumenten- und Kartenverarbeitung.;Mittel, nur Website, 100 Prozent der Kriterien belegt;86161 Augsburg;Deutschland;Kuvertiersysteme, Dokumenten- und Kartenverarbeitung;1.000 (Website);200 (abgeleitet);L. Possehl & Co. mbH (BOWE GROUP);Startliste (Boewe Systec);"Website bowe.com: BOWE SYSTEC Loesungen fuer Dokumentenverarbeitung und Kartenlogistik; seit 2010 zu 100 % Teil der Possehl-Unternehmensgruppe.";http://linkedin.com/company/bowe-systec;B;Randbereich der Zielbranche laut Recherche: Kuvertiersysteme, Dokumenten- und Kartenverarbeitung.;B;Sitz 86161 Augsburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;B;1.000 Mitarbeiter (Eigendarstellung auf der Website), knapp unter dem ICP-Band 1.001 bis 10.000.;D;200 Mio. EUR (aus 1.000 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur printing unit (1) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;5 Begriffe mit 11 Fundstellen auf 6 Seiten: Innovation (6), R&D (2), Entwicklung (1), F&E (1).;A;5 Begriffe mit 10 Fundstellen auf 6 Seiten: Einkauf (3), Einkaufsbedingungen (3), Supply Chain (2), Supplier (1).;B;1 Begriffe mit 1 Fundstellen: Zertifizierung (1).
GUK Falzmaschinen Griesser & Kunzmann GmbH & Co. KG;https://guk-falzmaschinen.com/;D;47;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Taschenfalzmaschinen, Outsert-Systeme, Pharmafalzmaschinen.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;78669 Wellendingen;Deutschland;Taschenfalzmaschinen, Outsert-Systeme, Pharmafalzmaschinen;220 (Recherche);35 (Website);Familienbesitz;Websuche Druckweiterverarbeitung Hersteller;"Website: GUK, familiengefuehrter Weltmarktfuehrer und Hersteller von Maschinen, die bedruckte Papierboegen maschinell falten; seit 1948.";https://www.linkedin.com/company/guk-falzmaschinen;B;Randbereich der Zielbranche laut Recherche: Taschenfalzmaschinen, Outsert-Systeme, Pharmafalzmaschinen.;B;Sitz 78669 Wellendingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;220 Mitarbeiter (Recherche, Gruppe: https://guk-falzmaschinen.com/unternehmen (2026: Im Falzmaschinenbau und der Drehtechnik beschaeftigen wir heute mehr als 220 Mitarbeiter)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;35 Mio. EUR (Eigendarstellung auf der Website), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur präzise (3) auf 9 Seiten.;A;3 Begriffe mit 13 Fundstellen auf 9 Seiten: Anleger (9), Register (3), Bogen (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 19 Fundstellen auf 9 Seiten: Ersatzteil (10), Wartung (5), Verfügbarkeit (4).;B;2 Begriffe mit 4 Fundstellen: Hochleistung (2), Serienfertigung (2).;A;4 Begriffe mit 7 Fundstellen auf 9 Seiten: Entwicklung (3), Innovation (2), Konstruktion (1), engineering (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: zertifiziert (1).
RIMA-SYSTEM GmbH;https://www.rima-system.com/;D;47;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Postpress-Foerdertechnik, Rotationsschneider, Stapel- und Palettiersysteme. Auf der Website 4 Fundstellen zu Kernbegriffen: printing press (4).;Mittel, nur Website, 73 Prozent der Kriterien belegt;40589 Düsseldorf;Deutschland;Postpress-Foerdertechnik, Rotationsschneider, Stapel- und Palettiersysteme;k. A.;k. A.;Familienbesitz;industrystock Druckmaschinenbau;"Website: Produkte Foerdersysteme, Rotationsschneider, Kreuzleger, Palettier-Roboter; world leader in automatic complete systems.";http://linkedin.com/company/system-gruppe;B;Randbereich der Zielbranche laut Recherche: Postpress-Foerdertechnik, Rotationsschneider, Stapel- und Palettiersysteme. Auf der Website 4 Fundstellen zu Kernbegriffen: printing press (4).;B;Sitz 40589 Düsseldorf, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;2 Begriffe mit 6 Fundstellen: Rotation (4), Register (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 68 Fundstellen auf 6 Seiten: maintenance (24), spare part (20), Retrofit (12), Wartung (8).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 8 Fundstellen: Innovation (8).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
